,date,Day,Month,Year,new_cases,Deaths,country,GeoId,cases_cumulative
0,2020-03-24,24,3,2020,6,1,Afghanistan,AF,40
1,2020-03-23,23,3,2020,10,0,Afghanistan,AF,34
2,2020-03-22,22,3,2020,0,0,Afghanistan,AF,24
3,2020-03-21,21,3,2020,2,0,Afghanistan,AF,24
4,2020-03-20,20,3,2020,0,0,Afghanistan,AF,22
5,2020-03-19,19,3,2020,0,0,Afghanistan,AF,22
6,2020-03-18,18,3,2020,1,0,Afghanistan,AF,22
7,2020-03-17,17,3,2020,5,0,Afghanistan,AF,21
8,2020-03-16,16,3,2020,6,0,Afghanistan,AF,16
9,2020-03-15,15,3,2020,3,0,Afghanistan,AF,10
10,2020-03-11,11,3,2020,3,0,Afghanistan,AF,7
11,2020-03-08,8,3,2020,3,0,Afghanistan,AF,4
12,2020-03-02,2,3,2020,0,0,Afghanistan,AF,1
13,2020-03-01,1,3,2020,0,0,Afghanistan,AF,1
14,2020-02-29,29,2,2020,0,0,Afghanistan,AF,1
15,2020-02-28,28,2,2020,0,0,Afghanistan,AF,1
16,2020-02-27,27,2,2020,0,0,Afghanistan,AF,1
17,2020-02-26,26,2,2020,0,0,Afghanistan,AF,1
18,2020-02-25,25,2,2020,1,0,Afghanistan,AF,1
19,2020-02-24,24,2,2020,0,0,Afghanistan,AF,0
20,2020-02-23,23,2,2020,0,0,Afghanistan,AF,0
21,2020-02-22,22,2,2020,0,0,Afghanistan,AF,0
22,2020-02-21,21,2,2020,0,0,Afghanistan,AF,0
23,2020-02-20,20,2,2020,0,0,Afghanistan,AF,0
24,2020-02-19,19,2,2020,0,0,Afghanistan,AF,0
25,2020-02-18,18,2,2020,0,0,Afghanistan,AF,0
26,2020-02-17,17,2,2020,0,0,Afghanistan,AF,0
27,2020-02-16,16,2,2020,0,0,Afghanistan,AF,0
28,2020-02-15,15,2,2020,0,0,Afghanistan,AF,0
29,2020-02-14,14,2,2020,0,0,Afghanistan,AF,0
30,2020-02-13,13,2,2020,0,0,Afghanistan,AF,0
31,2020-02-12,12,2,2020,0,0,Afghanistan,AF,0
32,2020-02-11,11,2,2020,0,0,Afghanistan,AF,0
33,2020-02-10,10,2,2020,0,0,Afghanistan,AF,0
34,2020-02-09,9,2,2020,0,0,Afghanistan,AF,0
35,2020-02-08,8,2,2020,0,0,Afghanistan,AF,0
36,2020-02-07,7,2,2020,0,0,Afghanistan,AF,0
37,2020-02-06,6,2,2020,0,0,Afghanistan,AF,0
38,2020-02-05,5,2,2020,0,0,Afghanistan,AF,0
39,2020-02-04,4,2,2020,0,0,Afghanistan,AF,0
40,2020-02-03,3,2,2020,0,0,Afghanistan,AF,0
41,2020-02-02,2,2,2020,0,0,Afghanistan,AF,0
42,2020-02-01,1,2,2020,0,0,Afghanistan,AF,0
43,2020-01-31,31,1,2020,0,0,Afghanistan,AF,0
44,2020-01-30,30,1,2020,0,0,Afghanistan,AF,0
45,2020-01-29,29,1,2020,0,0,Afghanistan,AF,0
46,2020-01-28,28,1,2020,0,0,Afghanistan,AF,0
47,2020-01-27,27,1,2020,0,0,Afghanistan,AF,0
48,2020-01-26,26,1,2020,0,0,Afghanistan,AF,0
49,2020-01-25,25,1,2020,0,0,Afghanistan,AF,0
50,2020-01-24,24,1,2020,0,0,Afghanistan,AF,0
51,2020-01-23,23,1,2020,0,0,Afghanistan,AF,0
52,2020-01-22,22,1,2020,0,0,Afghanistan,AF,0
53,2020-01-21,21,1,2020,0,0,Afghanistan,AF,0
54,2020-01-20,20,1,2020,0,0,Afghanistan,AF,0
55,2020-01-19,19,1,2020,0,0,Afghanistan,AF,0
56,2020-01-18,18,1,2020,0,0,Afghanistan,AF,0
57,2020-01-17,17,1,2020,0,0,Afghanistan,AF,0
58,2020-01-16,16,1,2020,0,0,Afghanistan,AF,0
59,2020-01-15,15,1,2020,0,0,Afghanistan,AF,0
60,2020-01-14,14,1,2020,0,0,Afghanistan,AF,0
61,2020-01-13,13,1,2020,0,0,Afghanistan,AF,0
62,2020-01-12,12,1,2020,0,0,Afghanistan,AF,0
63,2020-01-11,11,1,2020,0,0,Afghanistan,AF,0
64,2020-01-10,10,1,2020,0,0,Afghanistan,AF,0
65,2020-01-09,9,1,2020,0,0,Afghanistan,AF,0
66,2020-01-08,8,1,2020,0,0,Afghanistan,AF,0
67,2020-01-07,7,1,2020,0,0,Afghanistan,AF,0
68,2020-01-06,6,1,2020,0,0,Afghanistan,AF,0
69,2020-01-05,5,1,2020,0,0,Afghanistan,AF,0
70,2020-01-04,4,1,2020,0,0,Afghanistan,AF,0
71,2020-01-03,3,1,2020,0,0,Afghanistan,AF,0
72,2020-01-02,2,1,2020,0,0,Afghanistan,AF,0
73,2020-01-01,1,1,2020,0,0,Afghanistan,AF,0
74,2019-12-31,31,12,2019,0,0,Afghanistan,AF,0
78,2020-03-24,24,3,2020,11,2,Albania,AL,100
79,2020-03-23,23,3,2020,13,0,Albania,AL,89
80,2020-03-22,22,3,2020,6,0,Albania,AL,76
81,2020-03-21,21,3,2020,0,0,Albania,AL,70
82,2020-03-20,20,3,2020,11,0,Albania,AL,70
83,2020-03-19,19,3,2020,4,1,Albania,AL,59
84,2020-03-18,18,3,2020,4,0,Albania,AL,55
85,2020-03-17,17,3,2020,9,0,Albania,AL,51
86,2020-03-16,16,3,2020,4,0,Albania,AL,42
87,2020-03-15,15,3,2020,5,0,Albania,AL,38
88,2020-03-14,14,3,2020,10,0,Albania,AL,33
89,2020-03-13,13,3,2020,12,0,Albania,AL,23
90,2020-03-12,12,3,2020,1,1,Albania,AL,11
91,2020-03-11,11,3,2020,4,0,Albania,AL,10
92,2020-03-10,10,3,2020,4,0,Albania,AL,6
93,2020-03-09,9,3,2020,2,0,Albania,AL,2
133,2020-03-24,24,3,2020,87,2,Algeria,DZ,189
134,2020-03-23,23,3,2020,8,5,Algeria,DZ,102
135,2020-03-22,22,3,2020,0,0,Algeria,DZ,94
136,2020-03-21,21,3,2020,12,3,Algeria,DZ,94
137,2020-03-20,20,3,2020,9,1,Algeria,DZ,82
138,2020-03-19,19,3,2020,13,1,Algeria,DZ,73
139,2020-03-18,18,3,2020,0,1,Algeria,DZ,60
140,2020-03-17,17,3,2020,12,0,Algeria,DZ,60
141,2020-03-16,16,3,2020,11,2,Algeria,DZ,48
142,2020-03-15,15,3,2020,11,0,Algeria,DZ,37
143,2020-03-14,14,3,2020,2,1,Algeria,DZ,26
144,2020-03-13,13,3,2020,4,1,Algeria,DZ,24
